mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_11101	20650	4	0.1937046004842615	0.1937046004842615	bin_114	1499399	55	0.036681363666375665	2	1.848793796865102e-06	2	6.459408085648367e-05	34.93849934265914	5.28073607748184	1.2232022185680953e-05	6.616217669283682
k141_38158	10425	5	0.47961630695443647	0.47961630695443647	bin_151	1094850	18	0.016440608302507192	0	0.0	1	8.761315375703273e-05	1	29.1726618705036	3.0032622372940935e-06	1
k141_77057	8584	1	0.11649580615097857	0.11649580615097857	bin_216	387892	9	0.023202334670475288	2	2.9414800562461063e-05	1	0.00030712720572985164	10.441247258422855	5.020865693279487	6.117016954684659e-05	2.079571113084869
k141_88125	65044	3	0.04612262468482873	0.04612262468482873	bin_16	2937357	87	0.029618463128588048	12	2.834532208590562e-06	1	5.352553230889615e-06	1.8883374176055348	1.5572254537512007	3.437237182320549e-06	1.2126294320817312
k141_153407	25414	7	0.2754387345557567	0.2754387345557567	bin_87	1754433	206	0.11741685205419643	1	6.663858488431554e-07	1	2.2427981376788045e-05	33.65614893491958	2.345819443606116	9.560830198555513e-06	14.347288759437337
k141_167456	37112	1	0.026945462384134512	0.026945462384134512	bin_15	2975678	103	0.03461396024704286	29	6.630111133650085e-06	1	9.169595777033598e-06	1.383022937654055	0.7784565011290934	1.1779201231839904e-05	1.7766219893444053
k141_167457	6379	1	0.15676438313215238	0.15676438313215238	bin_15	2975678	103	0.03461396024704286	29	6.630111133650085e-06	1	5.279508164457415e-05	7.962925595111224	4.5289352045623	1.1657283502618922e-05	1.7582334998057898
k141_279006	35963	3	0.0834190695993104	0.0834190695993104	bin_216	387892	9	0.023202334670475288	2	2.9414800562461063e-05	1	7.901126799184911e-05	2.6861058542304947	3.59528774944619	2.197634055967282e-05	0.747118462115934
k141_279007	22325	1	0.04479283314669653	0.04479283314669653	bin_216	387892	9	0.023202334670475288	2	2.9414800562461063e-05	1	0.00012252975007781482	4.1655815349700624	1.9305312927709344	6.346944519192183e-05	2.1577384166568527
k141_289693	35153	1	0.028447074218416635	0.028447074218416635	bin_88	1749133	10	0.005717118137957491	0	0.0	1	1.6263528398593265e-05	1	4.975771626888174	3.268543980336253e-06	1
k141_312414	13744	3	0.21827706635622818	0.21827706635622818	bin_44	2384306	29	0.012162868356662275	0	0.0	1	3.051580716516367e-05	1	17.946183412950102	1.7004065133505339e-06	1
k141_376364	26463	6	0.22673166307674866	0.22673166307674866	bin_113	1504005	5	0.0033244570330550763	0	0.0	1	2.51253223977257e-05	1	68.20111098514907	3.6840048548764534e-07	1
k141_398728	6955	2	0.2875629043853343	0.2875629043853343	bin_22	2767563	19	0.0068652457053371505	2	5.279639333030265e-07	2	0.000104166511284954	197.29853634749577	41.886760755230995	2.486860034216068e-06	4.710283936741427
k141_520552	56244	3	0.05333902282910177	0.05333902282910177	bin_159	1006314	6	0.005962353698746117	1	2.023357325260565e-06	1	1.8714067675399976e-05	9.249017680547357	8.94596756987412	2.09189978940012e-06	1.0338756102463158
k141_526957	15057	1	0.06641429235571494	0.06641429235571494	bin_56	2197421	12	0.005460947173982591	1	4.1906685771253914e-07	1	3.0432270856610055e-05	72.61913056719273	12.161680060215625	2.5023081273255017e-06	5.9711429841630945
k141_580164	84524	1	0.011830959254176328	0.011830959254176328	bin_146	1165511	7	0.0060059493217996225	0	0.0	1	1.0150877386979899e-05	1	1.9698733073277581	5.15306103657505e-06	1
k141_647693	5681	3	0.5280760429501848	0.5280760429501848	bin_34	2480254	128	0.05160761760690639	11	3.6303156380244356e-06	1	7.097069398943076e-05	19.54945549254003	10.232521233057561	6.9357973829705055e-06	1.9105218594008715
k141_660222	75946	1	0.013167250414768388	0.013167250414768388	bin_216	387892	9	0.023202334670475288	2	2.9414800562461063e-05	1	4.221003127069553e-05	1.4349929444894365	0.5674967886539266	7.43793306228491e-05	2.528636237560333
k141_670072	28587	3	0.104942806170637	0.104942806170637	bin_87	1754433	206	0.11741685205419643	1	6.663858488431554e-07	1	1.9938598618592065e-05	29.92050124294421	0.8937627294095591	2.2308603796629533e-05	33.47700710535379
k141_682659	40716	1	0.024560369387955593	0.024560369387955593	bin_57	2183973	131	0.05998242652267221	9	3.809744191733984e-06	1	1.1245729405975071e-05	2.951833204542964	0.4094594168955843	2.746482054616619e-05	7.209098344649153
k141_696506	14055	1	0.0711490572749911	0.0711490572749911	bin_124	1368296	14	0.010231704251126949	2	2.168080247606154e-06	1	5.253795836560192e-05	24.232478674906403	6.953783605224373	7.555305334225555e-06	3.4847904465563984
k141_755554	18971	1	0.052712034157398134	0.052712034157398134	bin_241	271150	2	0.007375991148810621	1	3.1200339435681276e-05	1	0.00020902626371505214	6.69948684840287	7.146434030889252	2.9249030049332503e-05	0.9374587128972955
k141_1014265	26241	1	0.03810830379939789	0.03810830379939789	bin_188	625950	26	0.04153686396677051	1	5.159781044494686e-06	1	6.088074734307515e-05	11.799095120137485	0.9174574139705042	6.635811800746147e-05	12.860646107893157
k141_1163534	94144	3	0.03186607749830048	0.03186607749830048	bin_16	2937357	87	0.029618463128588048	12	2.834532208590562e-06	1	3.7359233489600764e-06	1.3180034919475199	1.0758855839330506	3.4724169602708914e-06	1.2250405727432216
k141_1168026	36559	2	0.05470609152329112	0.05470609152329112	bin_87	1754433	206	0.11741685205419643	1	6.663858488431554e-07	2	3.118163618860972e-05	46.792164393558146	0.46591345761884567	6.69258113898886e-05	100.43102131606138
k141_565759	207918	8	0.03847670716340096	0.00961917679085024	bin_57	2183973	131	0.05998242652267221	9	3.809744191733984e-06	1	2.2022197139914822e-06	0.5780492345836884	0.16036658315605778	1.3732410273083095e-05	3.6045491723245764
k141_565759	207918	8	0.03847670716340096	0.02885753037255072	bin_16	2937357	87	0.029618463128588048	12	2.834532208590562e-06	3	5.286348288522058e-06	1.8649808502795715	0.9743088372703961	5.425741906777921e-06	1.914157789540803
