bin_name	length	read_depth	percent_abundance_of_bins	percent_abundance_of_assembly
bin_1	6628220	3.7113407418462203	0.04052068599889847	0.1199836136147741
bin_2	5101738	4.762756773936647	0.05200012209868121	0.11851429808206301
bin_3	3995901	9.919584365543585	0.10830273781755309	0.19333139692729825
bin_4	3952508	18.21880863841389	0.1989142672316174	0.35122621663066983
bin_5	3921459	8.556388577570234	0.09341926784761144	0.16365616561564844
bin_6	3386752	9.432628631083706	0.1029861199740521	0.15581538099093298
bin_7	3343853	3.0775550798704376	0.033600968412754825	0.050193468209556336
bin_8	3275155	28.84582686569033	0.31494081899410226	0.46079636494365384
bin_9	3218125	9.769866822180617	0.10666811087674587	0.15335069427190554
bin_10	3195245	6.820049747628113	0.07446179522256226	0.1062884075010199
bin_11	3109857	119.4075809653627	1.3037005844358527	1.8112004328277735
bin_12	3095836	24.30001220377954	0.2653092865272544	0.36692612251719303
bin_13	3049626	6.856559300829021	0.0748604091586349	0.1019875154106722
bin_14	3039924	17.11388915020574	0.1868506765375778	0.25374975665978333
bin_15	2975678	66.17139085489092	0.7224640197298589	0.9603961070324158
bin_16	2937357	86.86640916994428	0.9484137228736821	1.2445226237340012
bin_17	2924666	9.436423999140407	0.10302755807633732	0.13461018356141263
bin_18	2881647	7.745869676344816	0.08456996400374245	0.1088692317668242
bin_19	2872511	13.651377728374232	0.14904672700805022	0.19126362282159143
bin_20	2856295	25.926646561706676	0.2830689978114834	0.3611965559603908
bin_21	2802603	108.56794037695671	1.1853526063934978	1.484080214597749
bin_22	2767563	13.663171195839082	0.14917548893674978	0.1844349487804607
bin_23	2756914	8.593170445570664	0.09382085493631322	0.11555023647106588
bin_24	2678982	1.444335762677763	0.015769362068148846	0.01887261820062565
bin_25	2666493	2.071838036207106	0.022620477165877312	0.026945760383372142
bin_26	2655902	11.460889001777922	0.12513081304365847	0.1484651584358987
bin_27	2621661	26.14532056783849	0.28545649638812465	0.33432180144902657
bin_28	2617741	4.587736475040888	0.050089237847330985	0.058575948858463574
bin_29	2608979	8.31857422456448	0.09082279358279262	0.10585555979326652
bin_30	2576927	6.56959188252908	0.07172727818045853	0.08257236062727684
bin_31	2518876	63.83813251149721	0.6969893367882073	0.7842980875425863
bin_32	2498424	33.51831399852869	0.36595537063816724	0.40845338717400315
bin_33	2495716	32.58614599221224	0.3557778930877286	0.3966636061841996
bin_34	2480254	191.166167339837	2.0871660079739933	2.3126046019233844
bin_35	2466905	27.98868413443566	0.3055824728099868	0.33676666788038084
bin_36	2459025	7.589357325781556	0.08286115086766577	0.09102530414304592
bin_37	2435803	24.79335003943258	0.2706955846120615	0.2945585047866897
bin_38	2431712	83.97882178912639	0.9168868355056691	0.9960384616726993
bin_39	2412747	23.680796335160707	0.25854864299621677	0.2786777405154481
bin_40	2411799	8.093336667458606	0.08836363368304546	0.09520569133887334
bin_41	2392164	10.792329821638479	0.1178314356772367	0.12592163476691967
bin_42	2389944	9.605016311206455	0.10486826110369078	0.11196441757171803
bin_43	2389591	24.168043576009445	0.263868443527504	0.281682108471033
bin_44	2384306	103.17443900913732	1.1264659693095307	1.199853717737005
bin_45	2367749	17.720651123104684	0.19347534753657633	0.20464895483091433
bin_46	2362712	125.32947995955492	1.3683563049293277	1.444302684072247
bin_47	2359997	14.626030753509426	0.15968805905931682	0.16835736769425488
bin_48	2331537	11.44856332976487	0.12499624046730219	0.1301929586049685
bin_49	2326487	18.00314046421064	0.19655958654484806	0.20428811152060758
bin_50	2321584	14.667160539928764	0.1601371170350258	0.16608279359670275
bin_51	2310791	1.5782368432887268	0.01723130372744553	0.01778799663662853
bin_52	2291645	116.23855958529354	1.2691009803580824	1.2992470965705245
bin_53	2285243	13.268516613419227	0.14486662173090378	0.14789345457472095
bin_54	2239753	18.129159508838693	0.19793547156658128	0.19804869759909188
bin_55	2237170	14.465816723910116	0.15793883072444223	0.1578469297843849
bin_56	2197421	23.041505833747824	0.25156882317591556	0.24695528367542996
bin_57	2183973	256.08892008809636	2.7959973067643284	2.7279238787023723
